tweet_number,variant,scheduled_at,posted_at,tweet_id,tweet_url,hook_text,topic,content_type,is_thread,has_image,likes,replies,reposts,bookmarks,status
1,A,2026-06-01T09:00:00,2026-06-01T09:03:00,sample-001,https://x.com/example/status/sample-001,What if your tweet hooks were tested like ML models,experimentation,single,false,false,3,0,1,0,sample
2,B,2026-06-02T09:00:00,2026-06-02T09:03:00,sample-002,https://x.com/example/status/sample-002,A better hook can be measured instead of guessed,experimentation,single,false,false,5,1,1,0,sample
3,A,2026-06-03T09:00:00,2026-06-03T09:03:00,sample-003,https://x.com/example/status/sample-003,Can a creator account be tested like a product surface,creator_growth,single,false,false,2,1,0,0,sample
4,B,2026-06-04T09:00:00,2026-06-04T09:03:00,sample-004,https://x.com/example/status/sample-004,A creator account is a product surface,creator_growth,single,false,false,6,2,1,1,sample
5,A,2026-06-05T09:00:00,2026-06-05T09:03:00,sample-005,https://x.com/example/status/sample-005,Can data science improve content strategy,analytics,single,false,true,4,0,1,0,sample
6,B,2026-06-06T09:00:00,2026-06-06T09:03:00,sample-006,https://x.com/example/status/sample-006,Better creator strategy starts with better measurement,analytics,single,false,true,6,1,2,1,sample
7,A,2026-06-07T09:00:00,2026-06-07T09:03:00,sample-007,https://x.com/example/status/sample-007,Can a simple hook change reply behavior,copywriting,single,false,false,3,1,0,0,sample
8,B,2026-06-08T09:00:00,2026-06-08T09:03:00,sample-008,https://x.com/example/status/sample-008,Testing hooks makes creative intuition sharper,copywriting,single,false,false,6,1,1,0,sample
9,A,2026-06-09T09:00:00,2026-06-09T09:03:00,sample-009,https://x.com/example/status/sample-009,What if every post had a learning objective,creator_growth,single,false,false,3,1,0,0,sample
10,B,2026-06-10T09:00:00,2026-06-10T09:03:00,sample-010,https://x.com/example/status/sample-010,Small content tests can reveal large audience signals,creator_growth,single,false,false,4,1,0,1,sample
11,A,2026-06-11T09:00:00,2026-06-11T09:03:00,sample-011,https://x.com/example/status/sample-011,What would happen if creators used power analysis,statistics,single,false,true,2,0,0,1,sample
12,B,2026-06-12T09:00:00,2026-06-12T09:03:00,sample-012,https://x.com/example/status/sample-012,Confidence intervals tell a better story than p values alone,statistics,single,false,true,7,1,2,1,sample
13,A,2026-06-13T09:00:00,2026-06-13T09:03:00,sample-013,https://x.com/example/status/sample-013,How would you design a fair tweet experiment,experimentation,single,false,false,3,1,1,0,sample
14,B,2026-06-14T09:00:00,2026-06-14T09:03:00,sample-014,https://x.com/example/status/sample-014,A clean schedule protects an experiment from bias,experimentation,single,false,false,4,2,0,0,sample
15,A,2026-06-15T09:00:00,2026-06-15T09:03:00,sample-015,https://x.com/example/status/sample-015,Can creators borrow experimentation from product teams,product_thinking,single,false,true,2,0,0,0,sample
16,B,2026-06-16T09:00:00,2026-06-16T09:03:00,sample-016,https://x.com/example/status/sample-016,Product analytics can make content decisions calmer,product_thinking,single,false,true,6,2,1,0,sample
17,A,2026-06-17T09:00:00,2026-06-17T09:03:00,sample-017,https://x.com/example/status/sample-017,What would you test first on your creator account,creator_growth,single,false,false,3,1,0,1,sample
18,B,2026-06-18T09:00:00,2026-06-18T09:03:00,sample-018,https://x.com/example/status/sample-018,A creator can run experiments without a large data team,creator_growth,single,false,false,6,2,1,1,sample
19,A,2026-06-19T09:00:00,2026-06-19T09:03:00,sample-019,https://x.com/example/status/sample-019,How do you separate a lucky post from a better hook,statistics,single,false,false,4,1,0,0,sample
